Year,Stand,Trapno,Species,Filled_seeds,Unfilled_seeds,Cones,FilledSeeds_Cones,UnfilledSeeds_Cones,Field Notes,Data Entry Notes
2019,SUNR,2,ABAM,1,0,0,0,0,,
2019,SUNR,2,ABLA,2,0,0,0,0,,
2019,SUNR,2,CANO,99,10,3,0,0,,
2019,SUNR,2,TSME,29,2,0,0,0,,
2019,SUNR,3,ABAM,2,0,0,0,0,,
2019,SUNR,3,ABLA,2,0,0,0,0,,
2019,SUNR,3,CANO,101,18,3,0,0,filled seeds in 2 vials,
2019,SUNR,3,TSME,34,6,0,0,0,,
2019,SUNR,4,ABAM,3,0,0,0,0,,
2019,SUNR,4,ABLA,1,1,0,0,0,,
2019,SUNR,4,CANO,211,33,2,7,0,filled seeds in 3 vials,
2019,SUNR,4,TSME,43,4,0,0,0,,
2019,SUNR,5,ABAM,6,1,0,0,0,,
2019,SUNR,5,ABLA,5,4,0,0,0,,
2019,SUNR,5,CANO,117,12,0,0,0,,
2019,SUNR,5,TSME,43,11,0,0,0,,
2019,SUNR,6,ABAM,5,2,0,0,0,,
2019,SUNR,6,ABLA,2,0,0,0,0,,
2019,SUNR,6,CANO,40,3,0,0,1,,
2019,SUNR,6,TSME,28,5,0,0,0,,
2019,TA01,1,PSME,1,2,0,0,0,,
2019,TA01,1,THPL,3,0,0,0,0,,
2019,TA01,1,TSHE,44,1,0,0,0,,
2019,TA01,2,PIMO,1,0,0,0,0,,
2019,TA01,2,PSME,3,3,3,4,11,,
2019,TA01,2,THPL,2,0,0,0,0,,
2019,TA01,2,TSHE,34,2,0,0,0,,
2019,TA01,3,PSME,3,3,0,0,0,,
2019,TA01,3,THPL,2,2,0,0,0,broke 1 unfilled seed in half,
2019,TA01,3,TSHE,52,2,0,0,0,,
2019,TA01,4,PSME,2,1,0,0,0,,
2019,TA01,4,THPL,5,4,0,0,0,,
2019,TA01,4,TSHE,59,4,0,0,0,,
2019,TA01,5,PSME,1,1,1,4,7,,
2019,TA01,5,THPL,9,2,0,0,0,,
2019,TA01,5,TSHE,61,11,0,0,0,broke 1 unfilled seed in half,
2019,TA01,6,PSME,1,0,0,0,0,,
2019,TA01,6,THPL,12,2,0,0,0,,
2019,TA01,6,TSHE,68,18,2,12,0,,
2019,TB13,1,PSME,2,0,0,0,0,,
2019,TB13,1,THPL,82,3,4,19,0,,
2019,TB13,1,TSHE,416,54,3,0,0,filled seeds in 2 vials,
2019,TB13,2,ALRU,1,0,0,0,0,,
2019,TB13,2,PSME,0,3,0,0,0,,
2019,TB13,2,THPL,80,2,0,0,0,,
2019,TB13,2,TSHE,425,33,7,1,0,,
2019,TB13,3,PSME,1,6,0,0,0,,
2019,TB13,3,THPL,112,4,0,0,0,,
2019,TB13,3,TSHE,331,61,4,2,0,filled seeds in 2 vials,
2019,TB13,4,ABAM,0,1,0,0,0,,
2019,TB13,4,PSME,0,2,0,0,0,,
2019,TB13,4,THPL,90,9,2,12,1,,
2019,TB13,4,TSHE,412,63,10,8,1,filled seeds in 2 vials,
2019,TB13,5,PSME,0,3,0,0,0,,
2019,TB13,5,THPL,29,31,1,0,1,,
2019,TB13,5,TSHE,237,297,10,11,24,,
2019,TB13,6,PSME,3,1,0,0,0,,
2019,TB13,6,THPL,100,3,17,60,21,,
2019,TB13,6,TSHE,350,126,18,97,33,,
2019,TO04,1,ABAM,0,1,0,0,0,,
